ldsc	S-LDSC
md_bsl	baseline
md_prox_gene_fct_all_ld	baseline-SP
simu_causal_pannot	causal-annot
prox_gene_fct_all_ld_ss50K	baseline-SP (B50K)
prox_gene_fct_all_ld_NB44K	baseline-SP (NB44K)
prox_gene_fct_all_ld_EAS2K	baseline-SP (EAS1.4K)
prox_gene_fct_all_ld_EAS2K.indpt10	baseline-SP (EAS1.4K)
md_prox_gene_fct_all_ld.indpt10	baseline-SP (10 traits)
md_prox_gene_fct_all_ld.am	baseline-SP (AM traits)
md_prox_gene_fct_all_ld.nam	baseline-SP (non-AM traits)
md_prox_all_ld	baseline-SP-proximity
md_gene_all_ld	baseline-SP-gene
md_fct_all_ld	baseline-SP-functional
common	common
common_short	C
common_common	common
common_common_short	C
common_block	common
common_block_short	C
lf	low-freq
lf_short	LF
lf_lf	low-freq
lf_lf_short	LF
lf_block	low-freq
lf_block_short	LF
h2	heritability
scv	sum of causal effect size variance
h2p	SNP-pair heritability
h2_enrich	heritability enrichment
scv_enrich	SCV enrichment
h2_shrink	heritability shrinkage
h2_enrich_shrink	heritability enrichment shrinkage
tau	tau
omega	omega
cov	SNP-pair effect covariance
cor	SNP-pair effect correlation
ecov	excess SNP-pair effect covariance
ecor	excess SNP-pair effect correlation
loglss	$logl_{ss}$
sqe	SSE
abe	SAE
biochemistry_AlanineAminotransferase	Alanine Aminotransferase
biochemistry_Albumin	Albumin
biochemistry_AlkalinePhosphatase	Alkaline Phosphatase
biochemistry_ApolipoproteinA	Apolipoprotein A
biochemistry_ApolipoproteinB	Apolipoprotein B
biochemistry_AspartateAminotransferase	Aspartate Aminotransferase
biochemistry_Calcium	Calcium
biochemistry_Cholesterol	Cholesterol
biochemistry_CreactiveProtein	C-reactive Protein
biochemistry_Creatinine	Creatinine
biochemistry_CystatinC	Cystatin C
biochemistry_DirectBilirubin	Direct Bilirubin
biochemistry_GammaGlutamyltransferase	Gamma Glutamyl Transferase
biochemistry_Glucose	Glucose
biochemistry_HDLcholesterol	HDL Cholesterol
biochemistry_HbA1c	HbA1c
biochemistry_IGF1	IGF1
biochemistry_LDLdirect	LDL Direct
biochemistry_Phosphate	Phosphate
biochemistry_SHBG	SHBG
biochemistry_TotalBilirubin	Total Bilirubin
biochemistry_TotalProtein	Total Protein
biochemistry_Triglycerides	Triglycerides
biochemistry_Urate	Urate
biochemistry_Urea	Urea
biochemistry_VitaminD	Vitamin D
blood_EOSINOPHIL_COUNT	Eosinophil Count
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	High Light Scatter Reticulocyte Count
blood_LYMPHOCYTE_COUNT	Lymphocyte Count
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	Mean Corpular Hemoglobin
blood_MEAN_PLATELET_VOL	Mean Platelet Volume
blood_MEAN_SPHERED_CELL_VOL	Mean Sphered Cell Volume
blood_MONOCYTE_COUNT	Monocyte Count
blood_PLATELET_COUNT	Platelet Count
blood_PLATELET_DISTRIB_WIDTH	Platelet Distribution Width
blood_RBC_DISTRIB_WIDTH	Red Blood Cell Distribution Width
blood_RED_COUNT	Red Blood Cell Count
blood_WHITE_COUNT	White Blood Cell Count
bmd_HEEL_TSCOREz	Heel T Score
body_BALDING1	Balding Type I
body_BALDING4	Balding Type IV
body_BMIz	BMI
body_HEIGHTz	Height
body_WHRadjBMIz	Waist-hip Ratio
bp_DIASTOLICadjMEDz	Diastolic Blood Pressure
bp_SYSTOLICadjMEDz	Systolic Blood Pressure
cov_EDU_COLLEGE	College Education
cov_EDU_YEARS	Years of Education
cov_SMOKING_STATUS	Smoking Status
disease_AID_ALL	Auto Immune Traits
disease_ALLERGY_ECZEMA_DIAGNOSED	Eczema
disease_ASTHMA_DIAGNOSED	Asthma
disease_CARDIOVASCULAR	Cardiovascular Diseases
disease_DIABETES_ANY_DIAGNOSED	Diabetes
disease_ENDOCRINE_DIABETES	Endocrine and Diabetes Diseases
disease_HI_CHOL_SELF_REP	High Cholesterol
disease_HYPERTENSION_DIAGNOSED	Hypertension
disease_HYPOTHYROIDISM_SELF_REP	Hypothyroidism
disease_RESPIRATORY_ENT	Respiratory and Ear-nose-throat Diseases
disease_T2D	Type 2 Diabetes
disease_THYROID_ANY_SELF_REP	Thyroid
impedance_BASAL_METABOLIC_RATEz	Basal Metabolic Rate
lung_FEV1FVCzSMOKE	FEV1-FVC Ratio
lung_FVCzSMOKE	Forced Vital Capacity (FVC)
mental_NEUROTICISM	Neuroticism
other_MORNINGPERSON	Morning Person
repro_AgeFirstBirth_Female	Age at First Birth (Female)
repro_MENARCHE_AGE	Age at Menarche
repro_MENOPAUSE_AGE	Age at Menopause
repro_NumberChildrenEverBorn_Pooled	Number Children (Pooled)
BivFlnk	Flanking bivalent TSS/enhancer
Conserved_LindbladToh	Conserved (Lindblad-Toh)
Conserved_Vertebrate_phastCons46way	Conserved in vertebrates (phastCons)
Conserved_Mammal_phastCons46way	Conserved in mammals (phastCons)
Conserved_Primate_phastCons46way	Conserved in primates (phastCons)
Coding_UCSC	Coding
UTR_3_UCSC	3UTR
UTR_5_UCSC	5UTR
Intron_UCSC	Intron
Enhancer_Andersson	FANTOM5 enhancer
SuperEnhancer_Hnisz	Super enhancer (Hnisz)
Enhancer_Hoffman	Enhancer
WeakEnhancer_Hoffman	Weak enhancer
Promoter_UCSC	Promoter
PromoterFlanking_Hoffman	Promoter flanking
DHS_Trynka	DHS
DHS_peaks_Trynka	DHS peaks
FetalDHS_Trynka	Fetal DHS
H3K27ac_Hnisz	H3K27ac
H3K27ac_PGC2	H3K27ac (PGC2)
H3K4me1_Trynka	H3K4me1
H3K4me1_peaks_Trynka	H3K4me1 peaks
H3K4me3_Trynka	H3K4me3
H3K4me3_peaks_Trynka	H3K4me3 peaks
H3K9ac_Trynka	H3K9ac
H3K9ac_peaks_Trynka	H3K9ac peaks
TFBS_ENCODE	TFBS
Transcribed_Hoffman	Transcribed
TSS_Hoffman	TSS
CTCF_Hoffman	CTCF
DGF_ENCODE	DGF
Repressed_Hoffman	Repressed
Vahedi_Tcell_SE	Super enhancer (Vahedi)
Vahedi_Tcell_TE	Typical enhancer
GerpRS_g4	Conserved (GERP RS >= 4)
GerpN	Conserved (GERP NS)
alleleage	MAF-adjusted predicted allele age
LLD_AFR	MAF-adjusted LLD-AFR
nucleotide_div	Nucleotide diversity
recomb_rate	Recombination rate
Backgrd_Selection_Stat	McVicker B statistics
CpG	CpG content
CADD_g20	Deleterious (CADD >= 20)
snpeff_nonsynonymous_variant	Non-synonymous
snpeff_synonymous_variant	Synonymous
BivFlnk.flanking	Flanking bivalent TSS/enhancer + 500bp
Conserved_LindbladToh.flanking	Conserved (Lindblad-Toh) + 500bp
Conserved_Vertebrate_phastCons46way.flanking	Conserved in vertebrates (phastCons) + 500bp
Conserved_Mammal_phastCons46way.flanking	Conserved in mammals (phastCons) + 500bp
Conserved_Primate_phastCons46way.flanking	Conserved in primates (phastCons) + 500bp
Coding_UCSC.flanking	Coding + 500bp
UTR_3_UCSC.flanking	3UTR + 500bp
UTR_5_UCSC.flanking	5UTR + 500bp
Intron_UCSC.flanking	Intron + 500bp
