#FID	IID	c2	c3	c4	c5
GBR	HG00096	0	0	1	-9
GBR	HG00097	0	0	2	-9
GBR	HG00099	0	0	2	-9
GBR	HG00100	0	0	2	-9
GBR	HG00101	0	0	1	-9
GBR	HG00102	0	0	2	-9
GBR	HG00103	0	0	1	-9
GBR	HG00104	0	0	2	-9
GBR	HG00106	0	0	2	-9
GBR	HG00108	0	0	1	-9
GBR	HG00109	0	0	1	-9
GBR	HG00110	0	0	2	-9
GBR	HG00111	0	0	2	-9
GBR	HG00112	0	0	1	-9
GBR	HG00113	0	0	1	-9
GBR	HG00114	0	0	1	-9
GBR	HG00116	0	0	1	-9
GBR	HG00117	0	0	1	-9
GBR	HG00118	0	0	2	-9
GBR	HG00119	0	0	1	-9
GBR	HG00120	0	0	2	-9
GBR	HG00121	0	0	2	-9
GBR	HG00122	0	0	2	-9
GBR	HG00123	0	0	2	-9
GBR	HG00124	0	0	2	-9
GBR	HG00125	0	0	2	-9
GBR	HG00126	0	0	1	-9
GBR	HG00127	0	0	2	-9
GBR	HG00128	0	0	2	-9
GBR	HG00129	0	0	1	-9
GBR	HG00130	0	0	2	-9
GBR	HG00131	0	0	1	-9
GBR	HG00133	0	0	2	-9
GBR	HG00134	0	0	2	-9
GBR	HG00135	0	0	2	-9
GBR	HG00136	0	0	1	-9
GBR	HG00137	0	0	2	-9
GBR	HG00138	0	0	1	-9
GBR	HG00139	0	0	1	-9
GBR	HG00140	0	0	1	-9
GBR	HG00141	0	0	1	-9
GBR	HG00142	0	0	1	-9
GBR	HG00143	0	0	1	-9
GBR	HG00146	0	0	2	-9
GBR	HG00148	0	0	1	-9
GBR	HG00149	0	0	1	-9
GBR	HG00150	0	0	2	-9
GBR	HG00151	0	0	1	-9
GBR	HG00152	0	0	1	-9
GBR	HG00154	0	0	2	-9
GBR	HG00155	0	0	1	-9
GBR	HG00156	0	0	1	-9
GBR	HG00158	0	0	2	-9
GBR	HG00159	0	0	1	-9
GBR	HG00160	0	0	1	-9
FIN	HG00171	0	0	2	-9
FIN	HG00173	0	0	2	-9
FIN	HG00174	0	0	2	-9
FIN	HG00176	0	0	2	-9
FIN	HG00177	0	0	2	-9
FIN	HG00178	0	0	2	-9
FIN	HG00179	0	0	2	-9
FIN	HG00180	0	0	2	-9
FIN	HG00182	0	0	1	-9
FIN	HG00183	0	0	1	-9
FIN	HG00185	0	0	1	-9
FIN	HG00186	0	0	1	-9
FIN	HG00187	0	0	1	-9
FIN	HG00188	0	0	1	-9
FIN	HG00189	0	0	1	-9
FIN	HG00190	0	0	1	-9
GBR	HG00231	0	0	2	-9
GBR	HG00232	0	0	2	-9
GBR	HG00233	0	0	2	-9
GBR	HG00234	0	0	1	-9
GBR	HG00235	0	0	2	-9
GBR	HG00236	0	0	2	-9
GBR	HG00237	0	0	2	-9
GBR	HG00238	0	0	2	-9
GBR	HG00239	0	0	2	-9
GBR	HG00240	0	0	2	-9
GBR	HG00242	0	0	1	-9
GBR	HG00243	0	0	1	-9
GBR	HG00244	0	0	1	-9
GBR	HG00245	0	0	2	-9
GBR	HG00246	0	0	1	-9
GBR	HG00247	0	0	2	-9
GBR	HG00249	0	0	2	-9
GBR	HG00250	0	0	2	-9
GBR	HG00251	0	0	1	-9
GBR	HG00252	0	0	1	-9
GBR	HG00253	0	0	2	-9
GBR	HG00254	0	0	2	-9
GBR	HG00255	0	0	2	-9
GBR	HG00256	0	0	1	-9
GBR	HG00257	0	0	2	-9
GBR	HG00258	0	0	2	-9
GBR	HG00259	0	0	2	-9
GBR	HG00260	0	0	1	-9
GBR	HG00261	0	0	2	-9
