# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A4GNT	ENSG00000118017	ENST00000236709	protein_coding	1	4	2	54	5	0	1	0	0	0	0	11	0	0	18	2	0	0	0	0	0	0	0	0	1	0	1	0	3	19
AADAC	ENSG00000114771	ENST00000232892	protein_coding	1	3	1	197	2	0	2	0	0	0	0	39	0	0	119	1	0	0	0	0	0	0	0	0	0	1	0	0	3	35
AADAC	ENSG00000114771	ENST00000488869	protein_coding	0	1	1	169	0	0	2	0	0	0	0	43	0	0	89	1	0	0	0	0	0	0	0	0	0	0	0	0	1	35
AADACL2	ENSG00000197953	ENST00000356517	protein_coding	1	1	1	194	0	0	0	0	0	0	0	27	0	0	140	1	0	0	0	0	0	0	0	0	1	0	0	0	1	27
AADACL2	ENSG00000197953	ENST00000445270	nonsense_mediated_decay	0	0	0	219	23	0	0	0	0	0	0	29	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ABCC5	ENSG00000114770	ENST00000265586	protein_coding	0	6	18	485	0	0	0	0	0	0	0	28	0	0	432	4	0	0	0	14	0	0	2	0	0	0	0	0	6	25
ABCC5	ENSG00000114770	ENST00000334444	protein_coding	0	8	18	510	7	1	2	0	0	0	0	27	0	0	442	4	0	0	0	14	0	0	3	0	0	0	0	0	6	32
ABCC5	ENSG00000114770	ENST00000382494	protein_coding	0	2	1	211	5	1	2	0	0	0	0	19	0	0	153	1	0	0	0	0	0	0	0	0	0	0	0	0	1	32
ABCC5	ENSG00000114770	ENST00000392579	protein_coding	0	2	1	211	5	1	2	0	0	0	0	19	0	0	153	1	0	0	0	0	0	0	0	0	0	0	0	0	1	32
ABCC5	ENSG00000114770	ENST00000427120	protein_coding	0	3	1	209	13	1	2	0	0	0	0	19	0	0	144	1	0	0	0	0	0	0	0	0	0	0	0	0	2	31
ABCC5	ENSG00000114770	ENST00000437205	nonsense_mediated_decay	0	5	1	515	12	1	1	0	0	0	0	28	0	0	442	1	0	0	0	0	0	0	2	0	0	0	0	0	3	32
ABCC5	ENSG00000114770	ENST00000437341	protein_coding	0	2	1	190	0	1	1	0	0	0	0	16	0	0	141	1	0	0	0	0	0	0	0	0	0	0	0	0	1	32
ABCC5	ENSG00000114770	ENST00000438979	nonsense_mediated_decay	0	1	1	195	1	1	2	0	0	0	0	16	0	0	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ABCC5	ENSG00000114770	ENST00000443376	nonsense_mediated_decay	0	2	1	211	6	1	2	0	0	0	0	19	0	0	152	1	0	0	0	0	0	0	0	0	0	0	0	0	1	32
ABCC5	ENSG00000114770	ENST00000443497	nonsense_mediated_decay	0	0	0	116	0	0	0	0	0	0	0	21	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ABCC5	ENSG00000114770	ENST00000446941	protein_coding	0	1	1	146	2	1	2	0	0	0	0	26	0	0	84	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ABCC5	ENSG00000114770	ENST00000476402	retained_intron	0	0	0	62	0	0	0	0	0	0	0	20	0	0	20	0	5	0	0	0	0	0	0	0	0	0	0	0	0	17
ABCC5	ENSG00000114770	ENST00000492216	processed_transcript	0	1	0	60	0	0	0	0	0	0	0	16	0	0	27	0	2	0	0	0	0	0	1	0	0	0	0	0	0	16
ABCC5-AS1	ENSG00000223882	ENST00000422946	antisense	0	2	0	81	0	0	0	0	0	0	0	24	0	0	23	0	1	0	0	0	0	0	2	0	0	0	0	0	0	35
